county_code,county
1,Alameda
7,Butte
13,Contra Costa
19,Fresno
23,Humboldt
25,Imperial
29,Kern
37,Los Angeles
41,Marin
53,Monterey
55,Napa
59,Orange
65,Riverside
67,Sacramento
71,San Bernardino
73,San Diego
75,San Francisco
77,San Joaquin
81,San Mateo
83,Santa Barbara
85,Santa Clara
87,Santa Cruz
95,Solano
97,Sonoma
99,Stanislaus
39,Madera
101,Sutter
27,Inyo
31,Kings
47,Merced
57,Nevada
61,Placer
79,San Luis Obispo
107,Tulare
111,Ventura
113,Yolo
5,Amador
9,Calaveras
11,Colusa
17,El Dorado
21,Glenn
33,Lake
43,Mariposa
45,Mendocino
69,San Benito
89,Shasta
93,Siskiyou
103,Tehama
109,Tuolumne
15,Del Norte
51,Mono
105,Trinity
63,Plumas
